Timestamp,Eye_R,Eye_G,Eye_B,Eye_Hex,Lips_R,Lips_G,Lips_B,Lips_Hex,Cheek_R,Cheek_G,Cheek_B,Cheek_Hex,Hair_R,Hair_G,Hair_B,Hair_Hex
2025-04-05 14:32:49,37,38,41,#252629,172,112,99,#AC7063,192,125,106,#C07D6A,72,52,45,#48342D
2025-04-05 14:32:49,38,38,41,#262629,174,113,100,#AE7164,193,125,106,#C17D6A,71,51,45,#47332D
2025-04-05 14:32:49,39,38,40,#272628,174,114,102,#AE7266,193,125,106,#C17D6A,72,53,47,#48352F
2025-04-05 14:32:49,39,39,39,#272727,173,114,100,#AD7264,194,126,107,#C27E6B,73,53,48,#493530
2025-04-05 14:32:49,39,38,39,#272627,174,113,100,#AE7164,194,126,106,#C27E6A,70,52,45,#46342D
2025-04-05 14:32:49,40,40,41,#282829,173,115,101,#AD7365,195,127,107,#C37F6B,71,52,46,#47342E
2025-04-05 14:32:49,41,41,43,#29292B,170,111,105,#AA6F69,197,127,107,#C57F6B,69,51,44,#45332C
2025-04-05 14:32:49,44,41,42,#2C292A,173,110,99,#AD6E63,197,127,108,#C57F6C,67,51,48,#433330
2025-04-05 14:32:49,42,41,41,#2A2929,174,110,101,#AE6E65,196,127,107,#C47F6B,67,51,47,#43332F
2025-04-05 14:32:49,42,40,43,#2A282B,172,109,96,#AC6D60,196,127,106,#C47F6A,66,50,44,#42322C
2025-04-05 14:32:49,38,41,41,#262929,170,110,94,#AA6E5E,197,128,108,#C5806C,70,51,42,#46332A
2025-04-05 14:32:49,45,39,40,#2D2728,172,110,95,#AC6E5F,196,128,108,#C4806C,68,51,46,#44332E
2025-04-05 14:32:49,41,39,42,#29272A,179,116,110,#B3746E,197,128,108,#C5806C,66,50,46,#42322E
2025-04-05 14:32:49,37,39,43,#25272B,169,109,95,#A96D5F,196,128,107,#C4806B,66,50,45,#42322D
2025-04-05 14:32:49,45,39,41,#2D2729,176,115,103,#B07367,197,128,106,#C5806A,66,54,49,#423631
2025-04-05 14:32:50,41,37,41,#292529,178,119,106,#B2776A,198,129,109,#C6816D,65,47,45,#412F2D
2025-04-05 14:32:50,38,39,40,#262728,176,113,101,#B07165,197,129,108,#C5816C,66,49,47,#42312F
2025-04-05 14:32:50,40,37,41,#282529,173,113,103,#AD7167,197,128,108,#C5806C,63,48,40,#3F3028
2025-04-05 14:32:50,41,35,44,#29232C,174,112,103,#AE7067,196,128,105,#C48069,66,53,43,#42352B
2025-04-05 14:32:50,41,36,47,#29242F,175,114,104,#AF7268,196,127,106,#C47F6A,66,50,41,#423229
2025-04-05 14:32:50,41,40,47,#29282F,173,114,97,#AD7261,197,128,106,#C5806A,67,52,43,#43342B
2025-04-05 14:32:50,45,33,36,#2D2124,174,114,101,#AE7265,198,128,107,#C6806B,70,50,46,#46322E
2025-04-05 14:32:50,47,23,24,#2F1718,169,112,98,#A97062,197,129,107,#C5816B,73,52,47,#49342F
2025-04-05 14:32:50,48,38,38,#302626,171,109,97,#AB6D61,197,128,107,#C5806B,76,52,47,#4C342F
2025-04-05 14:32:50,40,39,40,#282728,171,111,101,#AB6F65,195,127,106,#C37F6A,70,53,50,#463532
2025-04-05 14:32:50,42,39,41,#2A2729,171,108,97,#AB6C61,196,127,108,#C47F6C,68,48,44,#44302C
2025-04-05 14:32:50,40,37,41,#282529,170,105,96,#AA6960,196,127,109,#C47F6D,68,49,42,#44312A
2025-04-05 14:32:50,40,38,39,#282627,169,108,96,#A96C60,196,127,108,#C47F6C,65,48,43,#41302B
2025-04-05 14:32:50,39,38,41,#272629,171,108,99,#AB6C63,195,127,108,#C37F6C,67,50,43,#43322B
